Healthy	Unhealthy	Background
112,144,105	205,184,131	11,15,16
117,149,110	203,182,125	9,14,17
118,148,110	204,183,126	8,13,17
101,125,89	183,159,99	7,12,18
96,122,87	185,159,100	7,12,16
95,119,85	182,153,95	11,17,15
89,116,83	188,164,120	13,17,16
96,123,90	192,165,122	13,17,18
94,123,92	196,169,126	18,17,22
101,129,91	201,182,150	16,17,19
110,137,102	201,182,150	18,22,21
107,137,101	198,179,146	13,17,16
109,134,102	187,174,80	13,17,18
107,132,100	184,174,76	14,18,19
112,137,105	185,175,78	15,16,18
108,139,107	159,116,74	7,11,14
119,150,118	166,123,80	7,11,14
108,139,107	175,137,92	11,12,16
111,138,105	201,195,73	14,14,16
106,133,100	198,196,75	15,15,17
104,131,98	200,197,80	10,14,17
110,142,105	204,183,128	10,15,18
112,142,104	204,183,126	9,14,18
113,145,106	205,184,127	8,13,19
99,125,90	184,158,97	8,13,17
96,123,88	184,158,97	9,15,15
93,120,85	183,154,94	10,14,15
90,117,84	187,160,115	12,13,15
95,124,93	189,162,117	14,15,19
93,122,91	192,165,118	12,16,19
110,136,101	201,182,150	18,20,19
125,151,116	201,185,152	16,18,17
125,152,117	195,179,146	15,16,18
112,139,104	187,177,80	16,17,19
110,137,104	187,179,80	16,16,18
112,139,106	186,178,79	8,12,15
103,133,99	161,117,72	7,11,14
110,140,106	166,124,76	8,12,15
110,140,106	175,135,86	12,13,17
116,146,112	200,196,70	14,15,19
100,129,98	200,196,73	10,14,17
94,121,90	201,196,78	9,14,17
105,135,101	203,182,127	9,14,18
103,133,97	204,183,128	10,13,20
100,130,94	206,185,130	9,12,17
95,121,86	187,161,100	8,14,14
93,120,85	186,160,99	9,13,14
94,121,86	186,157,97	12,13,15
91,117,88	190,162,115	12,13,17
97,126,96	191,163,116	12,16,19
97,126,95	193,165,117	14,16,15
108,134,99	199,180,148	15,17,16
123,148,116	197,180,150	14,15,17
127,154,121	193,176,146	15,16,18
113,140,105	188,178,81	15,15,17
109,136,103	188,180,81	8,12,15
111,138,105	188,180,82	8,12,15
101,128,95	169,122,78	8,12,15
102,132,98	170,126,79	12,13,17
103,133,99	176,136,87	13,14,18
107,137,103	200,196,70	8,14,14
94,123,92	197,193,68	8,13,16
91,118,87	198,193,73	9,14,18
91,114,94	183,164,131	8,15,21
83,105,84	184,161,127	7,15,18
